protein_id,AA_A,AA_C,AA_D,AA_E,AA_F,AA_G,AA_H,AA_I,AA_K,AA_L,AA_M,AA_N,AA_P,AA_Q,AA_R,AA_S,AA_T,AA_V,AA_W,AA_Y,mol_weight,isoelectric,gravy,instability,aromaticity,aliphatic,tm,label
A0A0K2H409_Geobacillus_stearothermophilus_NCA26_lysate,9.762532981530343,1.3192612137203166,4.74934036939314,7.255936675461742,3.430079155672823,6.200527704485488,3.034300791556728,7.124010554089709,3.430079155672823,8.970976253298153,1.5831134564643798,3.1662269129287597,5.145118733509235,3.825857519788918,7.387862796833773,5.804749340369393,4.74934036939314,8.179419525065963,1.4511873350923483,3.430079155672823,84823.9950000004,6.246230125427247,-0.13284960422163627,45.28366754617429,0.08311345646437994,96.2532981530343,70.9378071070039,1
A0A0K2H416_Geobacillus_stearothermophilus_NCA26_lysate,11.074918566775244,0.9771986970684039,5.537459283387622,6.840390879478828,2.6058631921824102,9.77198697068404,0.9771986970684039,8.469055374592834,6.188925081433225,7.49185667752443,2.6058631921824102,2.9315960912052117,7.49185667752443,1.6286644951140066,5.863192182410423,5.2117263843648205,4.88599348534202,5.2117263843648205,0.3257328990228013,3.9087947882736156,33094.62500000002,6.373663139343263,-0.18697068403908804,30.17491856677523,0.06840390879478828,88.43648208469055,72.3307144302429,1
A0A0K2H440_Geobacillus_stearothermophilus_NCA26_lysate,15.413533834586467,0.37593984962406013,4.887218045112782,6.7669172932330826,3.007518796992481,10.150375939849624,3.007518796992481,5.2631578947368425,4.887218045112782,7.894736842105263,2.6315789473684212,1.5037593984962405,3.3834586466165413,4.135338345864661,4.511278195488722,3.7593984962406015,6.390977443609023,9.022556390977444,0.7518796992481203,2.255639097744361,28149.797200000008,5.776228523254394,0.03609022556390968,25.46052631578949,0.06015037593984962,92.89473684210526,62.1772041720388,1
A0A0K2H450_Geobacillus_stearothermophilus_NCA26_lysate,3.875968992248062,0.0,6.2015503875969,13.178294573643411,4.651162790697675,6.2015503875969,2.3255813953488373,5.426356589147287,8.527131782945736,13.178294573643411,2.3255813953488373,0.0,0.7751937984496124,3.875968992248062,10.852713178294573,6.2015503875969,5.426356589147287,2.3255813953488373,0.7751937984496124,3.875968992248062,15387.35439999999,6.8575334548950195,-0.8046511627906981,47.13333333333331,0.09302325581395349,83.17829457364341,66.9691769345725,1
A0A0K2H482_Geobacillus_stearothermophilus_NCA26_lysate,8.60655737704918,1.2295081967213115,6.147540983606557,4.508196721311475,1.2295081967213115,6.967213114754099,2.0491803278688523,6.557377049180328,5.327868852459017,12.295081967213115,2.8688524590163933,5.327868852459017,5.327868852459017,2.459016393442623,6.147540983606557,4.098360655737705,7.786885245901639,7.377049180327869,0.819672131147541,2.8688524590163933,26801.72580000002,8.38406505584717,-0.0938524590163934,23.49795081967212,0.04918032786885246,103.52459016393442,67.6878927128711,1
A0A0K2H4B3_Geobacillus_stearothermophilus_NCA26_lysate,12.021857923497267,1.092896174863388,6.557377049180328,7.103825136612022,3.8251366120218577,5.46448087431694,3.8251366120218577,6.0109289617486334,5.46448087431694,9.836065573770492,1.639344262295082,2.185792349726776,5.46448087431694,2.185792349726776,4.371584699453552,3.278688524590164,4.371584699453552,8.19672131147541,1.092896174863388,6.0109289617486334,20540.281600000002,5.454690361022949,-0.046994535519125594,25.060655737704913,0.1092896174863388,97.59562841530055,78.0432419055141,1
A0A0K2H4B6_Geobacillus_stearothermophilus_NCA26_lysate,8.547008547008547,2.5641025641025643,4.273504273504273,7.6923076923076925,3.4188034188034186,7.264957264957265,3.8461538461538463,4.273504273504273,1.2820512820512822,11.11111111111111,1.2820512820512822,2.5641025641025643,5.555555555555555,6.410256410256411,8.974358974358974,5.982905982905983,3.8461538461538463,7.6923076923076925,1.7094017094017093,1.7094017094017093,26226.51000000001,6.138918113708496,-0.2645299145299149,50.55559829059828,0.06837606837606837,90.85470085470084,67.2696812131967,1
A0A0K2H4C3_Geobacillus_stearothermophilus_NCA26_lysate,13.235294117647058,0.0,4.901960784313726,7.8431372549019605,2.450980392156863,10.294117647058824,0.9803921568627451,4.901960784313726,8.823529411764707,10.784313725490197,3.4313725490196076,1.9607843137254901,1.9607843137254901,6.862745098039215,3.9215686274509802,3.9215686274509802,3.9215686274509802,5.882352941176471,1.4705882352941178,2.450980392156863,22166.240999999998,6.763123893737793,-0.2338235294117647,30.21764705882352,0.06372549019607844,91.47058823529412,73.1077860964971,1
A0A0K2H4F8_Geobacillus_stearothermophilus_NCA26_lysate,9.0311986863711,0.8210180623973727,4.926108374384237,8.866995073891626,4.105090311986864,6.732348111658457,2.134646962233169,3.284072249589491,7.389162561576355,11.494252873563218,2.134646962233169,2.955665024630542,5.254515599343185,4.105090311986864,4.926108374384237,5.582922824302135,5.254515599343185,6.732348111658457,1.3136288998357963,2.955665024630542,68063.99200000014,5.922816276550292,-0.3448275862068966,32.61628899835795,0.08374384236453201,86.19047619047618,72.8295706970246,1
A0A0K2H4H8_Geobacillus_stearothermophilus_NCA26_lysate,7.2948328267477205,0.303951367781155,6.382978723404255,8.51063829787234,2.735562310030395,6.382978723404255,2.127659574468085,5.775075987841945,7.598784194528875,7.90273556231003,2.43161094224924,3.951367781155015,5.47112462006079,4.86322188449848,4.86322188449848,6.686930091185411,3.0395136778115504,7.90273556231003,3.0395136778115504,2.735562310030395,37302.888500000015,5.52636432647705,-0.5100303951367778,37.04437689969605,0.08510638297872339,83.5562310030395,72.9839103195114,1
